Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Smoked Beef Sticks,1,0,0,1,550,50,22,3.4,68,1531,257,5.4,0,0,0
Banana Chips,1,0,0,0,536,32,3.5,1.25,18,6,536,57.1,7.7,0,35
Honey,1,0,1,0,304,0,0.3,0.42,6,4,52,82,0.2,0,82
Chocolate Icecream,0,0,1,0,216,11,3.8,0.93,109,76,249,28,1.2,0,25
Vanilla Ice cream,0,0,1,0,356,24.6,4,0.09,128,80,199,30,0.7,0,21
Strawberry Icecream,0,0,1,0,192,8.4,3.2,0.21,120,60,188,27.6,0.9,0,0
Marshmallows,0,0,1,0,318,0.2,1.8,0.23,3,80,5,81,0.1,0,58
Chocolate milk,1,1,1,0,76,2.1,3,2.35,189,79,372,11.5,3.4,0,52
Rice Pudding,0,0,1,0,112,2.9,2.9,1.79,14,366,5,18.2,0.7,0,0
Beef,1,1,1,1,250,15,26,0,0,72,318,0,0,0,0
Shrimp,1,1,1,1,99,0.3,24,0,0,111,259,0.2,0,0,0
Squid,0,1,1,1,92,1.4,16,0.7,32,44,246,3.1,0,0,0
Egg,1,1,1,1,143,9.5,13,1.8,56,142,138,0.7,0,0,0
White Egg,1,1,1,1,127,0.4,27,0.2,17,407,399,1.8,0,0,1.7
Bread nut,1,1,1,1,393,20,6.5,2.1,162,338,146,50,1.3,0,26
Bread white,1,1,1,0,270,3.6,9.4,3,211,477,117,49,2.3,0,5
Scallop,0,1,1,1,137,1,24,0,12,660,367,6.3,0,0,0
Lobster,0,1,1,1,88,1,19,0,91,665,160,0,0,0,0
Venison,0,1,1,1,190,4,36,5,6,267,311,0,0,0,0
Halibut,0,1,1,1,91,1.3,19,0,7,68,435,0,0,4.7,0
Tofu,0,1,1,0,144,8.7,17,3,683,14,237,3,2,0,0
Chicken,0,1,1,1,143,8,17,0,6,60,522,0,0,0,0
Sardines cooked,0,1,1,1,208,11,25,3,382,307,397,0,0,5,0
Duck Breast,0,1,1,1,123,4.3,20,4,3,57,268,0,0,0,0
Pork Chops,0,1,1,1,164,4.6,29,0,6,524,486,0,0,0,0
Fish,0,1,1,1,92,2.3,17,1.3,70,40,380,0,0,0,0
Powdered Peanut Butter,1,1,1,0,462,12,46,3,77,692,1154,38,7.7,0,15
Turkey breast,0,1,1,1,114,1.5,24,0,11,113,242,0,0,0,0
Carrots,1,1,1,0,41,0.2,1,0,33,69,320,10,3,0,4.7
Snail,0,1,1,1,90,1.4,16,3,8,60,325,2,0,0,0
Mango,1,1,1,0,60,0.4,0.8,0,11,1,168,15,1.6,0,14
Cabbage green,1,1,1,0,25,0,1.2,0,40,18,170,5.8,2.5,0,3.2
Soy boiled,1,1,1,0,173,9,16.6,5,102,232,512,10,6,0,3
Coca-Cola Zero calorie,1,1,1,0,0,0,0,0,0,11,17,0,0,0,0
Sliced bell peppers,1,1,1,0,26,0,1,0,9,0,0,6.2,1.3,0,0.4
